Time,l_per,l_abs,b_per,b_abs
1776797382,23.6,5627,14.8,2750
1776797401,23.6,5627,14.8,2750
1776797411,23.6,5627,14.9,2752
1776797433,23.6,5627,14.9,2752
1776797450,23.6,5627,14.9,2752
1776797452,23.6,5627,14.9,2752
1776797453,23.6,5627,14.9,2752
1776797454,23.6,5627,14.9,2752
1776797455,23.6,5627,14.9,2752
1776797457,23.6,5627,14.9,2752
1776797460,23.6,5627,14.9,2752
1776797463,23.6,5627,14.9,2752
1776797520,23.6,5627,14.9,2752
1776797546,23.6,5627,14.9,2752
1776797560,23.6,5627,14.9,2752
1776797562,23.6,5627,14.9,2752
1776797572,23.6,5627,14.9,2752
1776797575,23.6,5627,14.9,2752
1776797575,23.6,5627,14.9,2753
1776797577,23.6,5627,14.9,2753
1776797587,23.6,5627,14.9,2753
1776797602,23.6,5627,14.9,2753
1776797644,23.6,5627,14.9,2753
1776797646,23.6,5627,14.9,2754
1776797653,23.6,5627,14.9,2754
1776797655,23.6,5627,14.9,2754
1776797657,23.6,5627,14.9,2754
1776797696,23.6,5627,14.9,2754
1776797716,23.6,5627,14.9,2754
1776797742,23.6,5641,14.9,2758
1776797743,23.6,5641,14.9,2758
1776797747,23.6,5641,14.9,2758
1776797749,23.6,5641,14.9,2758
1776797752,23.6,5641,14.9,2758
1776797790,23.6,5641,14.9,2758
1776797796,23.6,5641,14.9,2759
1776797798,23.7,5654,14.9,2765
1776797833,23.7,5654,14.9,2765
1776797952,23.7,5654,14.9,2765
1776797953,23.7,5654,14.9,2765
1776797996,23.7,5654,14.9,2765
1776798000,23.7,5654,14.9,2765
1776798031,23.7,5654,14.9,2765
1776798078,23.7,5654,14.9,2767
1776798079,23.7,5654,14.9,2767
1776798099,23.7,5654,14.9,2767
1776798114,23.7,5654,14.9,2768
1776798149,23.7,5654,14.9,2768
1776798153,23.7,5654,14.9,2768
1776798163,23.7,5654,14.9,2768
1776798195,23.7,5654,14.9,2768
1776798198,23.7,5654,14.9,2768
1776798205,23.7,5654,14.9,2768
1776798206,23.7,5654,14.9,2768
1776798207,23.7,5654,14.9,2768
1776798209,23.7,5654,14.9,2768
1776798212,23.7,5654,14.9,2768
1776798220,23.7,5654,14.9,2768
1776798225,23.7,5654,14.9,2768
1776798226,23.7,5654,14.9,2768
1776798230,23.7,5654,14.9,2768
1776798233,23.7,5654,14.9,2768
1776798259,23.7,5654,14.9,2768
1776798270,23.7,5654,14.9,2768
1776798281,23.7,5654,14.9,2768
1776798282,23.7,5654,14.9,2768
1776798296,23.7,5654,14.9,2768
1776798302,23.7,5654,15.0,2769
1776798303,23.7,5654,15.0,2770
1776798306,23.7,5654,15.0,2770
1776798324,23.7,5654,15.0,2770
1776798326,23.7,5654,15.0,2770
1776798328,23.7,5654,15.0,2770
1776798329,23.7,5654,15.0,2770
1776798331,23.7,5654,15.0,2770
1776798333,23.7,5654,15.0,2771
1776798336,23.7,5654,15.0,2771
1776798338,23.7,5654,15.0,2771
1776798348,23.7,5654,15.0,2771
1776798350,23.7,5654,15.0,2771
1776798352,23.7,5654,15.0,2771
1776798357,24.0,5732,15.1,2796
1776798361,24.0,5732,15.1,2796
1776798362,24.0,5732,15.1,2796
1776798364,24.0,5732,15.1,2796
1776798366,24.0,5732,15.1,2796
1776798374,24.0,5732,15.1,2796
1776798376,24.0,5732,15.1,2796
1776798383,24.0,5732,15.1,2796
1776798411,24.0,5732,15.1,2796
1776798424,24.0,5732,15.1,2796
1776798435,24.0,5732,15.1,2796
1776798443,24.0,5732,15.1,2796
1776798444,24.0,5732,15.1,2796
1776798486,24.0,5732,15.1,2796
1776798498,24.0,5732,15.1,2796
1776798502,24.0,5732,15.1,2796
1776798504,24.0,5732,15.1,2796
1776798504,24.0,5732,15.1,2796
1776798506,24.0,5732,15.1,2796
1776798515,24.0,5732,15.1,2797
1776798516,24.0,5732,15.1,2797
1776798521,24.0,5732,15.1,2797
1776798533,24.0,5732,15.1,2797
1776798545,24.0,5732,15.1,2797
1776798555,24.0,5732,15.1,2797
1776798581,24.0,5732,15.1,2797
1776798584,24.0,5732,15.1,2797
1776798594,24.0,5732,15.1,2797
1776798643,24.0,5732,15.1,2797
1776798645,24.0,5732,15.1,2797
1776798679,24.0,5732,15.1,2797
1776798681,24.0,5732,15.1,2797
1776798696,24.0,5732,15.1,2797
1776798697,24.0,5732,15.1,2797
1776798698,24.0,5732,15.1,2797
1776798699,24.0,5732,15.1,2797
1776798701,24.0,5732,15.1,2797
1776798702,24.0,5732,15.1,2797
1776798704,24.0,5732,15.1,2797
1776798705,24.0,5732,15.1,2799
1776798707,24.0,5732,15.1,2799
1776798709,24.0,5732,15.1,2799
1776798716,24.0,5732,15.1,2799
1776798728,24.0,5732,15.1,2799
1776798742,24.0,5732,15.1,2799
1776798748,24.0,5732,15.1,2799
1776798767,24.0,5732,15.1,2799
1776798771,24.0,5732,15.1,2799
1776798781,24.0,5732,15.1,2799
1776798787,24.0,5732,15.1,2799
1776798793,24.0,5732,15.1,2799
1776798809,24.0,5732,15.1,2799
1776798820,24.0,5732,15.1,2799
1776798822,24.0,5732,15.1,2799
1776798827,24.0,5732,15.1,2799
1776798828,24.0,5732,15.1,2799
1776798830,24.0,5732,15.1,2799
1776798832,24.0,5732,15.1,2799
1776798836,24.0,5732,15.1,2799
1776798840,24.0,5732,15.1,2799
1776798841,24.0,5732,15.1,2799
1776798852,24.0,5732,15.1,2799
1776798870,24.0,5732,15.1,2799
1776798924,24.0,5732,15.1,2799
1776798929,24.0,5732,15.1,2799
1776798930,24.0,5732,15.1,2799
1776798932,24.0,5734,15.1,2801
1776798965,24.0,5734,15.1,2802
1776798966,24.0,5734,15.1,2802
1776798969,24.0,5734,15.1,2802
1776798974,24.0,5734,15.1,2802
1776798983,24.0,5734,15.1,2802
1776798990,24.0,5734,15.1,2802
1776798993,24.0,5734,15.1,2803
1776798995,24.0,5734,15.1,2803
1776799035,24.0,5734,15.1,2803
1776799039,24.0,5734,15.1,2803
1776799067,24.0,5734,15.1,2803
1776799069,24.0,5734,15.1,2803
1776799384,24.0,5734,15.1,2803
1776799390,24.0,5734,15.1,2803
1776799473,24.0,5734,15.1,2803
1776799474,24.0,5734,15.1,2803
1776799483,24.0,5734,15.1,2803
1776799484,24.0,5734,15.1,2803
1776799487,24.0,5734,15.1,2803
1776799540,24.0,5734,15.1,2803
1776799543,24.0,5734,15.1,2803
1776799544,24.0,5734,15.1,2803
1776799568,24.0,5734,15.1,2803
1776799572,24.0,5736,15.2,2807
1776799580,24.0,5736,15.2,2807
1776799583,24.0,5736,15.2,2808
1776799588,24.0,5737,15.2,2809
1776799590,24.0,5737,15.2,2809
1776799594,24.0,5737,15.2,2809
1776799598,24.0,5737,15.2,2809
1776799602,24.0,5737,15.2,2809
1776799608,24.0,5737,15.2,2809
1776799612,24.0,5737,15.2,2809
1776799630,24.0,5737,15.2,2809
1776799640,24.0,5737,15.2,2809
1776799646,24.0,5737,15.2,2809
1776799671,24.0,5737,15.2,2809
1776799749,24.0,5737,15.2,2809
1776799752,24.0,5737,15.2,2809
1776799755,24.0,5737,15.2,2809
1776799767,24.0,5737,15.2,2809
1776799855,24.1,5742,15.2,2819
1776799867,24.1,5742,15.2,2819
1776799868,24.1,5742,15.2,2819
1776799870,24.1,5742,15.2,2819
1776799876,24.1,5742,15.2,2819
1776799888,24.1,5742,15.2,2819
1776799929,24.1,5742,15.2,2819
1776800004,24.1,5742,15.2,2819
1776800006,24.1,5742,15.2,2819
1776800008,24.1,5742,15.2,2819
1776800030,24.1,5742,15.2,2819
1776800031,24.1,5742,15.2,2819
1776800033,24.1,5742,15.2,2819
1776800035,24.1,5742,15.2,2819
1776800037,24.1,5742,15.2,2819
1776800039,24.1,5742,15.2,2819
1776800043,24.1,5742,15.2,2819
1776800049,24.1,5742,15.2,2819
1776800054,24.1,5742,15.2,2819
1776800057,24.1,5742,15.2,2819
1776800067,24.1,5742,15.2,2819
1776800080,24.1,5742,15.2,2819
1776800132,24.1,5742,15.2,2819
1776800141,24.1,5742,15.2,2819
1776800142,24.1,5742,15.2,2819
1776800197,24.1,5742,15.2,2819
1776800256,24.1,5742,15.2,2819
1776800257,24.1,5742,15.2,2820
1776800258,24.1,5742,15.2,2820
1776800363,24.1,5742,15.2,2820
1776800383,24.1,5742,15.2,2820
1776800393,24.1,5742,15.2,2820
1776800396,24.1,5742,15.2,2820
1776800401,24.1,5742,15.2,2820
1776800430,24.1,5742,15.2,2820
1776800447,24.1,5742,15.2,2820
1776800488,24.1,5742,15.2,2820
1776800491,24.1,5742,15.2,2820
1776800496,24.1,5755,15.3,2825
1776800497,24.1,5755,15.3,2825
1776800505,24.1,5755,15.3,2825
1776800522,24.1,5755,15.3,2825
1776800527,24.1,5755,15.3,2825
1776800535,24.1,5755,15.3,2825
1776800537,24.1,5755,15.3,2827
1776800559,24.1,5755,15.3,2827
1776800563,24.1,5755,15.3,2827
1776800569,24.1,5755,15.3,2827
1776800573,24.1,5755,15.3,2827
1776800574,24.1,5755,15.3,2827
1776800582,24.1,5755,15.3,2827
1776800586,24.1,5755,15.3,2827
1776800603,24.1,5755,15.3,2827
1776800650,24.1,5755,15.3,2827
